,QuestionID,QuestionText
0,startDate,Start Date
1,endDate,End Date
2,status,Response Type
3,progress,Progress
4,duration,Duration (in seconds)
5,finished,Finished
6,recordedDate,Recorded Date
7,_recordId,Response ID
8,distributionChannel,Distribution Channel
9,userLanguage,User Language
10,Q_RecaptchaScore,Q_RecaptchaScore
11,QID74,Do you accept the terms outlined in the consent form and agree to participate in this study?
12,QID75_TEXT,What is your Prolific ID? Please note that this response should auto-fill with the correct ID.
13,QID5,"Please select one instant messaging service from the following list that you use frequently (more than twice a week) and have seen chatbots on. If more than one applies, choose the one you use the most. The rest of the survey will be based on your selection here."
14,QID6,How often do you use the instant messaging service you selected in the previous question?
15,QID81,"Which of the following are considered chatbots in group chats and are therefore within the scope of this study? (Select all that apply)

This is a comprehension check. You must answer this question correctly before you can proceed."
16,QID7,"How often do you notice chatbots in group chats, including seeing them send messages or actively searching for their existence?"
17,QID11_TEXT,Please name 1-2 chatbots you encountered in group chats and describe them in 1-2 sentences.
18,QID12,"How often do you interact with chatbots in group chats, including actively tagging/mentioning chatbots in your messages, chatbots replying to your messages, or chatbots reading your messages?"
19,QID13,What types of group chats have you seen chatbots in? Select all that apply. - Selected Choice
20,QID13_5_TEXT,What types of group chats have you seen chatbots in? Select all that apply. - Other (please specify) - Text
21,QID14,What purposes do you use chatbots for in group chats? Select all that apply.
22,QID78,"Please select the third option: ""Sometimes""."
23,QID16,Have you ever noticed any chatbots in private group chats you have participated in?
24,QID17,How often do you check for the presence of chatbots whenever you join private group chats?
25,QID19_TEXT,Please elaborate on your answer to the previous question.
26,QID20,When do you check for the presence of chatbots in a private group? Select all that apply.
27,QID22,Have you ever noticed any chatbots in public group chats you have participated in?
28,QID23,How often do you check for the presence of chatbots whenever you join public group chats?
29,QID25_TEXT,Please elaborate on your answer to the previous question.
30,QID26,When do you check for the presence of chatbots in a public group? Select all that apply.
31,QID27,To what extent are you familiar with what information chatbots on [QID5-ChoiceGroup-SelectedChoices] can access in group chats?
32,QID28,What type of messages do you believe a chatbot on [QID5-ChoiceGroup-SelectedChoices] has access to?
33,QID29,"Following up on the previous question, what information do you believe is included with the message a chatbot has access to on [QID5-ChoiceGroup-SelectedChoices]? Select all that apply."
34,QID30,What type of information do you believe a chatbot on [QID5-ChoiceGroup-SelectedChoices] can access about the group? Select all that apply.
35,QID83,Chatbots from group chats with access to users’ data as checked above would raise my privacy concerns.
36,QID76,"For this question, choose the fifth option, ""Chatbots are never helpful."""
37,QID33,Chatbots from group chats with access to users’ data as listed above would raise my privacy concerns.
38,QID34,I would be concerned that any personal information I share in the group chat could be collected by the chatbot and be used inappropriately.
39,QID35,I would stop sharing some sensitive information or talking about controversial topics in group chat because of privacy concerns about chatbots.
40,QID36,I would still use the chatbot after knowing what information it had access to.
41,QID37_TEXT,"If you choose ""somewhat agree"" or ""strongly agree"" in the previous question, what are the reasons for continuing using the chatbot?"
42,QID38,I think chatbots accessing more information than necessary could cause privacy issues in public group chats.
43,QID39,I think chatbots accessing more information than necessary could cause privacy issues in private group chats.
44,QID40,I understand how chatbot providers protect the data collected from group chats.
45,QID41_TEXT,Do you have specific privacy concerns about chatbots in group chats? Please describe.
46,QID43,"Ideally, what type of messages do you expect a chatbot in a group chat has access to? - Selected Choice"
47,QID43_6_TEXT,"Ideally, what type of messages do you expect a chatbot in a group chat has access to? - Other (please specify) - Text"
48,QID44_1,"Ideally, what specific information within a message would you expect a chatbot to have access to? Sort all options according to your level of expectation, with 1 being the most expected to be accessible, and 5 being least expected to be accessible. - The content of the message itself."
